http://www.nytimes.com/2015/12/06/arts/music/u2-preaching-defiance-heads-back-to-paris.html
		u2 , preaching defiance , heads back to paris 
671764236150956033	mfogelmaniii	on society's dual needs of extreme patience against smaller crimes and extreme decisiveness against violent ones 
671762236600418305	AikiCulture	new york’s tactical shift on terror attacks : don’t wait for backup 
671760626776018944	a517dogg	“ 1 minute we expect them to be de-escalating ... the next minute we expect them ... to take on a suicide bomber . " 
671758892616040452	JonLemire	" police officials are aware that statements on counterterror tactics are often read by those seeking to attack ... " 
671741226002026496	compliancememe	excellent look at the complexity and difficulty of being a police officer today 
671756864237867008	nickchagnon	being trained to rush into situations , but de escalate others . 
671755404393578496	pugio_O1	police confront danger lacking maturity - males shouldn't be eligible as cops until age 33 - females age 28 . 

http://www.nytimes.com/interactive/projects/cp/climate/2015-paris-climate-talks/paris-climate-talks-getting-down-to-business-on-day-3
672004070023016448	TheNutellaMan	world leaders at the paris climate talks have left the building . now the real work begins 
672025318295752704	GreenIsTweet	talks : getting down to business on day 3 - 
672025070865244160	TJS27626984	day 3 & now for the $$$ bill $20b ! lining pockets of foreigner leaders 
672004211681320961	TheNews_Network	:: what to expect on day 3 of the climate talks 
672005364540248064	emilyalp	embarrassed to be from the us with this kind of bullshit selfishness . 
672004250772381696	Mosharraf0129	nytimes : world leaders at the paris climate talks have left the building . now the real work begins … 
		le bourget , france — the world leaders have left the building , and the negotiators at le bourget are getting down to business . topic no . 1 is no surprise : money . when the schedule of wednesday’s event ... 

http://www.nytimes.com/2015/12/02/sports/long-hidden-details-reveal-cruelty-of-1972-munich-attackers.html
672031059928875009	someopinions	long-hidden details reveal cruelty of 1972 munich attackers 
672022740157800448	CraveForNews	long-hidden , vivid and disturbing details of the 1972 olympics attack in munich are beginning to emerge 
672020262532050944	sportingjim	new information on 1972 summer olympics 
672018616989179905	sportingjim	a tragedy that deserves to be remembered 
672008516077494277	IPalmah	cruelty of terrorist organizations doesn't change , just their names and mos . our response to terrorism has to change 
672008143929413632	SGioe	two widows of the israeli athletes heartbreak . 
672007157982896128	MJoemal19	rt sickening long-hidden detail : palestinian 1972 munich terrorists castrated israeli . … 
672006480351125505	newstruthliz	long-hidden details about the at the 1972 show 
672005743919370240	leeigel	long-hidden details reveal cruelty of attackers by via 
671982875122769920	TeachESL	rt long-hidden , vivid , disturbing details of the 1972 olympics attack in munich are beginning to emerge … 
671980416820240386	pastelcoh	activists ? palestinian resistance ? not ! just barbarians and terrorists like daesh 
671975145079185409	Police_Blog	long-hidden details reveal of 1972 attackers 

http://www.nytimes.com/interactive/2015/multimedia/2015-holiday-gift-guide-style.html
671821381198340097	miriamkrule	" for the parent who uses emoji but can't program voicemail " is such a good category : 
671820892297646080	S_Evangelina	the nyt 2015 holiday gift guide has my category spot on . 
671811099046617089	ChildsPlayComm	our client , arckit , was featured in the nty ! 
670344400308969473	Majickks	style 
671498046400761857	BensBagelTours	ben's bagel tours has made it to the ny times holiday gift guide ! schmear the word !!! 
671391758916427776	thecultureofme	s/o all over the gift guide 2015 
671046411706855424	stereostories	the one where i tell you what to buy for the stylish people on your list : 2015 holiday gift guide via 
671003451535552517	artbook	an unexpected fashion story is one of top holiday gift books of 2015 ! 
669536792358617088	bot_innovation	fizzicsgroup : beer system / a present idea from the nytimes 2015 holiday gift guide 
669536473843134464	FizzicsGroup	beer system / a present idea from the 2015 holiday gift guide 
669787439544860672	Arckitmodel	the includes in their holiday gift guide . 
669835536018890752	Arckitmodel	the lists in their holiday gift guide 
670615313671716864	paolettacapo	top story : 2015 holiday gift ideas and guide — style see more 
670557774992961536	retailpractice	this interactive guide webpage by is pretty neat ! 
670453351931371521	LMJB	" 2015 holiday gift ideas and guide — style " by joanna nikas and sharon steel via nyt multimedia/photos via 
670439186969817088	Juniper_Gifts	2015 holiday gift guide - style 
670339595335266305	SteveKaplanpa	the best present ideas , selected by times experts , to make shopping easy this season . 
669937532881281024	felixsalmon	is the nyt telling me to keep my socks on while having sex , 
669836245917425664	bot_innovation	arckitmodel : the nytimes lists arckitmodel in their holiday gift guide 
669772797762215936	GroganPaul	2015 holiday gift guide : aromatherapy shower kit 
669773014897135616	GroganPaul	2015 holiday gift guide : handmade leather gloves 
669772121841774596	GroganPaul	2015 holiday gift guide : 3-d printer 
669771909123448832	GroganPaul	2015 holiday gift guide : cookies socks 
669771842870247424	GroganPaul	2015 holiday gift guide : bath bombs 
669771079766945793	GroganPaul	for food addicts 
669652475624886272	essioshower	we're happy to announce that we made it in to the 2015 new york times holiday gift guide . give us a look-see ... 
669625465074659329	Spicer_Meg	the nytimes gift guide includes a $450 hoodie , just so i'm reminded how poor i am . 

http://www.nytimes.com/interactive/projects/cp/climate/2015-paris-climate-talks/what-climate-change-looks-like-dissolving-pteropod-shells
672003335919116289	CvilleScience	rt what does climate change look like ? it’s not just polar bears on melting ice . … 
671786006878769153	okarakok	what climate change looks like : dissolving shells - 
671951785628581888	AquariumOTheBay	elevated co2 levels cause dissolving shells of pteropods ( aka food ) . 
671909406087385089	Fish_Feel	even little like sea snails & sea slugs , are harmed by 
671908934358200321	ConsBio	what change looks like : dissolving shells 
671728163572068353	OldDogDocs	what looks like in the discover more at a sea change : imagine a world without fish 
671904851417284608	snwann	great read → what looks like : dissolving shells via 
671810558140674048	allligatortears	what does look like ? oceans are acidifying and pteropod shells are dissolving : via 
671828393139154944	PugetSKeeper	what climate change looks like : we're melting the " sea butterflies " that other critters depend on : 
671815273511546880	jiejennyzou	an overlooked result of ocean acidification 
671794055756382208	bronwen	sea butterflies are dissolving , and climate change is to blame . 
671793108762411008	razemfrazem	climate change increases the ocean's acidification putting marine animals at risk . 
671792159926939648	SoniaLiberty	shells dissolving in acidifying oceans . 
671736556726583296	GreenVIU	lots of stories coming out of climate talks this week , and here's one that doesn't get a lot of attention . 
671733314663878656	susanjtweit	affects all of us , including the tiniest snails in the ocean whose shells are thinning . it's our ... 
671742992986828800	chelseahbelle	pteropods , which play big role in ocean's food chain , are having their shells dissolved as result of 

http://www.nytimes.com/2015/12/01/arts/music/adele-on-love-fame-ego-and-25.html
671763344190230529	ChopinNotes	adele on love , fame , ego and ‘ 25 ’ 
671926575848251392	ActsofCompass	adele on love , fame , ego and ' 25 ' - new york times 
671897590267449346	oooESTHERooo	so many reasons why i love her . 
671896594539790336	eligehl	i just really love me some adele . great interview with her : 

http://cooking.nytimes.com/recipes/1012799-fig-tart-with-caramelized-onions-rosemary-and-stilton
671911282769924097	CourtneyBaird99	yum !!! fig tart with caramelized onions , rosemary and stilton 

http://www.nytimes.com/2015/12/02/world/middleeast/us-increases-special-operations-forces-fighting-isis-in-iraq.html
672012613837070336	Politicalthinke	pentagon officials say they’ll bolster special operations force in iraq 
671985640947322881	iraqsolidarity	pentagon officials say they'll bolster special operations force in iraq - new york times 
671941744682995713	9Joe9	' a1 ' for " statehood project is troubled , those who escaped isis say . " 
671770967782244352	iraqsolidarity	u.s. increases special operations forces fighting isis in iraq 
671896900283596800	arcagility	goo news pentagon officials say they'll bolster special operations force in iraq - new york … 
671846446807695360	tristamsparks	germany endorses 1200 troops , uk voting , france livid … & “ us increases special operations forces fighting isis iraq ” 
671805475894128640	ldv1234	it's about time ! 
671772724209913856	PublikunCZAR	u.s. increases special operations forces in iraq to spur kurdish rebellion 

http://www.nytimes.com/interactive/2015/12/02/world/The-Marshall-Islands-Are-Disappearing.html
672026822884909056	condosta	marshall islands are disappearing 
672030772535148544	CarolynRask	rt " i don’t want my kids to drown here . ” rising sea levels are consuming the marshall islands … 
672027066435575808	BCAppelbaum	black comedy : military base named for ronald reagan , on island threatened by global warming . 
672030021867847680	pitvins	the islands are disappearing 
672028526569267200	JulioBermejo_	rt stories from the marshall islands , on the front lines of sea level rise-w amazing drone footage by https://… 
672028267768074240	CRBags	the south pacific nation the marshall islands is disappearing 
672027423563739136	elgarasha	sadly going have to be abandoned soon . 
672026381962858496	barbarapruffin	rt no israeli solar panels on the island ? only cars and power lines , wtf ??? the marshall … 
672026126840152065	donna_lypchuk	a paradise flooded by filthy seas ... 
672025892072194050	Minding	as the planet warms 2 degrees , as the melting continues at the poles , as the seas rise , the areas closest to sea ... 
		most of the marshall islands rise less than six feet above sea level . for the marshallese , the destructive power of the rising seas is already an inescapable part of daily life . 

http://www.nytimes.com/interactive/2015/03/11/sports/wrights-first-family-saddle-bronc-rodeo.html
670825138418356224	3D_Bullriding	rt the wright brothers , not orville & wilbur but cody , jake , jesse and spencer . from http://… 

http://www.nytimes.com/2015/12/02/technology/airbnb-releases-trove-of-new-york-city-home-sharing-data.html
672028064893657088	paul_holtz	airbnb lies . it knows nothing of transparency . 
671875232483966976	tcbrown223	releases trove of new york city home-sharing 
672008949848141824	ranjana_menon	airbnb has opened up its new york data base to public . start of a new trend hopefully 
672004824477601792	zararah	airbnb have made a bunch of data on its activities in nyc available- but “ by appointment only , to their nyc offices ” 
671992572261240832	52Clichy	airbnb releases new york city home-sharing data . france next ? i hope so . 
671991053361274880	luisella	rt releases trove of new york city home-sharing data 
671898535982473216	owashb	airbnb to release rental housing data to nyc , other cities 
671895627270369285	CyberLabUK	airbnb shares anonymized data for nyc , shows median host income is about $5k/year 
671915172605337601	jimRsmiley	rt worst " open & transparent " release ever ? data now available " by making appointment to visit " nyc office … 
671912322294800384	jimRsmiley	rt dear " open & transparent " data does not require an appointment to obtain . h/t 
671906277505675264	ScottBreonPDX	authorities misinformed re : rise of and loss of affordability . sad to see it repeated constantly . 
671899795242422272	adnys	nyt : anonymized airbnb data for nyc shows median host income is around $5k/yr 
671895635977764865	WilltoProsper	rt . released data on homesharing : … to people who go to its nyc office : 
671868314885357568	kitson	what about those w/only 1 listing ? mt 75% of $ earned by nyc hosts from folks w/ 1 or 2 airbnb listings . 
671847063999549440	dancow	ok , i'm getting old ... where is this " trove " of data that airbnb released ? is their blog post the data ? 

http://artsbeat.blogs.nytimes.com/2015/12/01/lin-manuel-miranda-contributing-music-to-star-wars/
671760588608053248	kitzmancole	lin-manuel miranda contributing music to ‘ star wars ’ 
671899324482236416	MoiraAtLarge	lin-manuel miranda contributing music to & wars & 
671838695620767744	social_rosie	artsbeat : lin-manuel miranda contributing music to ‘ star wars ’ - 
671829975259942912	czobit	one more reason to go see the new star wars : " lin-manuel miranda contributing music to ‘ star wars ’" 
671816436948439041	BalikpapanMedia	artsbeat | lin-manuel miranda contributing music to ' star wars ' - new york times ( blog ) 
671810096926695425	debebot	" lin-manuel miranda contributing music to ‘ star wars ’" by andrew r . chow via nyt 
671815165449490432	nycev	lin-manuel miranda contributing music to ‘ star wars ’ via 
671810228824985600	poppiknowles	" lin-manuel miranda contributing music to ‘ star wars ’" by r . chow 
671807970301321216	allmyshitdesign	nyt : " lin-manuel miranda contributing music to ‘ star wars ’" by andrew r . chow . 
671796504579837953	MovieTVToday	artsbeat : lin-manuel miranda contributing music to ‘ star w ... ♥ buyfb 
671794378034290688	heathdwilliams	pairing hamilton lyrics w/ star wars pics/gifs because : 
671773724232826880	PeterHimler	hamilton meet skywalker 
671771100565643268	wittich	artsbeat : lin-manuel miranda contributing to ‘ star wars ’ 
671762920871763968	MichaelPaulson	why do you write like you're running out of time , indeed . wrote cantina music for 
671761749087924224	TheAlexKnapp	han is not throwing away his shot . 

http://www.nytimes.com/2015/12/02/world/asia/airasia-crash-report-indonesia.html
671711886774267904	JohnnyMack_	indonesia cites resetting of circuit breaker in 2014 airasia crash : 
671750956191768576	CraveForNews	indonesia cited the resetting of a circuit breaker in the 2014 crash of airasia flight 8501 
671799822664495104	rogerthepilot	there is a reason for rudder limiters 
671790134476464128	cblazina	indo cites resettng circuit breakr ' 14 airasia crash i hope all other pilots know u can't reboot a plane in mid-air ? 
671774913103925248	ukworldnews	ny times : cites resetting of circuit breaker in 2014 airasia crash 
671756148693983233	CLM_net	cites resetting of circuit breaker in 2014 airasia crash : the move led to a … 
671735169804599296	benyunmowang	pilot thought he could fix a plane by turning it off and on again . 

http://www.nytimes.com/2015/12/01/us/1-5-million-bond-set-for-officer-in-chicago-shooting.html
671884286295953409	randygioia	cop charged with murder gets a he can afford - so should everyone charged with a crime - 
671711767899340801	samuelldrew	" officer in chicago shooting is released from jail " 
671705084208615424	Chicanonoir	murderous chicago cop released from jail after other cops pay his bail 
671590336318189568	sophanho	" mcdonald was hit 16 times in 14 or 15 seconds , prosecutors say , and for 13 of those seconds he was on the ground . " 
671490534590951424	SimplyNewsApp	$1.5 million bond set for in 
671456696561090561	BrkNews365	$1.5 million bond set for officer in chicago shooting 
671469997810520064	Rachel_genao	( $1.5 million bond set for officer in chicago shooting : jason van dyke , charged ... ( 
671469882236538881	iRoobeert_x7	[ ♥.♥ ] $1.5 million bond set for officer in chicago shooting 
671469864473661440	FlordelAlba_xD	( ) $1.5 million bond set for officer in chicago shooting via 

http://www.nytimes.com/interactive/2015/multimedia/2015-holiday-gift-guide.html
671396796174700544	nytimeswell	the holiday gift guide — picks for kids under 12 and more . 
670406400959475712	BrennanEm	what will you give your little one this holiday ? 
671366044561358848	KJDellAntonia	the holiday gift guide ! i helped ( good thing my kids won’t read ) . 
671456021613813760	Papyrus_Online	gifting & guiding has launched thx for including in your travel section ! 
670402609233072129	TheNews_Network	:: 2015 holiday gift ideas and guide 
671398534940356609	mardanone	" the nytimes holiday gift guide — picks for kids under 12 and more . " 
671395394891436033	sdo310	2015 holiday gift guide : ese sandman overture deluxe edition estira como loco . 
671374745326198784	diannapiedra	gifts season !!! [ 
671372467219361792	hoosierdukie	it's time for the annual " completely ludicrous things nobody can afford " list , aka the ny times ' gift ideas : 
671370834011807744	coopnytimes	dear santa , this stuff , please >>> 
671340879345504256	hapolinario	2015 holiday gift guide via 
671331706176151552	donnakaz	2015 holiday gift guide from 
671028780266299393	nytimestheater	not sure what to get the theater lover on your holiday gift list ? we've got some suggestions . 
671002733651079168	thrimpth	cute interactive gift guide , nyt 
670956860330123264	SavedbyScottie	rt gifts for food lovers 
670671493114802176	MattHallDesigns	my are in the " home " section of the holiday gift guide ! 

http://www.nytimes.com/2015/12/01/business/top-prescription-plan-to-offer-dollar1-alternative-to-dollar750-pill.html
671703586569523201	BrkNews365	top prescription plan to offer $1 alternative to $750 pill 
671833896540102656	D_Wekt	health - drugs - ripoffs - alternatives - express scripts prescription plan to offer $1 alternative to $750 pill 
671826582500220928	jonippolito	is there an industry more ripe for disruption than big pharma ? “ health plan to offer $1 alternative to $750 pill ” 
671826128424853504	ProfPolkWagner	another example of why price issues are in many cases not in fact issues , but regulatory ones . 
671811298489860096	tenetetcetera	economics at work . radical price increases created opportunities for competitors to enter the market , quickly ... 
671806867861999616	WorldHealthNews	express scripts is expected to promote a compounded medicine with the same active ingredient as the much more … 
671800811056455680	Ethan129	welldone showing that 2 can play pricing game 
671799377946521600	darrenthedad	celebrate this ! it may affect you or someone you care about one day . 
671780851609288704	BachelorUncle	. " express scripts had only 350 patients who used daraprim last year " $esrx $immy 
671768285852123136	zamorastl	nice 
671726023491387393	DanSkwire	will this medication cost me $750 , $1 , or $0.01 per pill ? the curious world of prescription drug pricing . 
671721022857461761	Don_Manolin	prescription 4 martin shkreli's greed affliction : express scripts to offer $1 alternative to $750 pill , via 
671707611096612869	owlese	. $750 pill is facing a new headwind : an alternative that costs $1 per pill 

http://www.nytimes.com/2015/12/02/dining/latkes-mashed-potatoes-recipe.html
671799529822289920	Screamingfrom	on hanukkah , the latke road less traveled : a twist on a holiday tradition calls f ... 
671791290879746048	acandreva	a twist on potato latke ! ... ie : not new , just a potato pancake . 

http://www.nytimes.com/2015/11/30/opinion/inequality-and-the-city.html
671767311032938498	liendac	inequality and the city 
671753756141219840	BRIDGEhousing	" is there any way to spread the benefits of our urban renaissance more widely ? " 
671898299708932096	PBaxandall	paul krugman connects raising inequality , urban gentrification , housing prices and wrong kids of land regulation 
671955729171922944	LaurentFranckx	crazy working hours of high earning professionals explains relocation to cities and gentrification 
671895462123732992	jennywiggins	" in this age of gentrification , housing policy has become much more important than most people realize . " 
671759298398171136	urbandata	high earners are now willing to pay a lot more for central locations that cut commuting time : 
671850541895573504	mooonyose	wow . paul krugman finally wrote something that wasn't complete shit . deregulation of land use = cheaper housing :) 
671835382548324353	noelle_wright	rt . housing + landuse policy are critical levers thru which can lead in fight v . https://… 
671829075179143168	CaseyAndersonPB	paul krugman on land use regulation , housing affordability , and inequality .... 
671828574693756928	kleptopaul	rt real progresssives who won real nobel prizes support liberalized urban land use policy to fight inequality : … 
671826015040204800	BrooksRainwater	and the has grown in recent years w/ housing shifts & 
671804114054086656	bradmeacham	krugman on why more housing supply is key to more equitable cities . 
671801651653533696	ArmandDoma	rt paul krugman on addressing economic inequality in cities : build more housing via 
671781008606384128	EnterCastle	from paul krugman , a great look at how land use restrictions increase inequality . 
671769047961370624	TweetBenMax	" the dramatic decline in crime rates ... and the truth is that nobody really knows why that happened " 
671769015761698816	BeckettGI	rt " and the city , " arguing something must be done about economic inequality in new york city . … 
671755544538017792	HVV_com	rt totally agree with paul krugman on this : " ... mainly because land use restrictions are in the way . " 
671748568235962368	seberke	not only in nyc : " in this age of gentrification , housing policy has become much more important than most ... realize " 
671745104034459648	TernerHousing	in the face of rising inequality in cities , " housing policy has become much more important than most people realize . " 
671735708533526529	AnnieWords	& the city : in this age of is more important than most people realize 

http://www.nytimes.com/2015/12/02/world/middleeast/isis-promise-of-statehood-falling-far-short-ex-residents-say.html
672030027454783488	FranTownsend	promise of statehood falling far short , ex-residents say 
672028652947824640	LizSly	that isis statehood thing is failing more than ever . " they'll end up all alone " - great report by 
672031662184800258	AlexO_	isis promise of statehood falling far short , ex-residents say pretty interesting piece this . 
672016222033170432	moni_bol	“ isis wants to build a new society , but they’ll end up all alone . ” residents flee from corrupt & incompetent is rule 
672031064983019520	JLownLaw	daesh's " islamic state " aspiration and propaganda is falling far short , in reality , ex-residents say 
672028696031703043	Westernerd	rt isis is finding out that onerous taxes and regulations are bad for the economy . … 
672027033078247425	KaramShoumali	rt islamic state , struggling to find qualified workers , lets smokers off with a warning . … 
672015704724475905	steven_metz	isis promise of statehood falling far short echoes china's " red versus expert " debate of 1950s 
672023211865972737	GinsburgJobs	isis dream of statehood said to be fading in new fighting 
672021559415087105	MoignKhawaja	promises of statehood failing to materialise as professionals flee fear , repression 
672017414951866370	haroldlgardner	promise of falling far short , ex-residents say 
672007845655744512	FlorianNeuhof	only military pressure will cause it to fail : promise of statehood falling far short 
		cruelty , a lack of services and an onerous tax system are driving people from areas controlled by the islamic state , challenging its claim of being a government for the world’s muslims . 

http://www.nytimes.com/2015/12/02/dining/challah-recipe-history.html
671774390586105856	NYT	a twist on the traditional challah . 
671875473253646336	harry200170	history on a bread : culture and tradition in challah 
671822679100493824	miriamkrule	ashkenazi jews ruined challah . 
671771760363110400	Joshua_Pollack	nice story here on challahs old and new , but they missed one . 
671770028874850304	juliamoskin	for hanukkah : a festive sephardic challah with raisins , sesame , spices , and ( of course ) olive oil ... 

http://www.nytimes.com/2015/12/01/business/security-breach-at-toy-maker-vtech-includes-data-on-children.html
671702318056914948	bardtoverse	security breach at toy maker vtech includes data on - 
671811175768793088	hadiaboukhater	" security breach at toy maker vtech includes data on … 
671799098048192512	kulamama	we've seen a few of these types of stories over the last few years . it's concerning as a parent .... 
671758981895880705	KenandMike	we'll have craig peterson of tech talk joins us tomorrow on the vtech breach . 
671780736567930880	ISandlerPDX	well this is scary . time to mask our data ? 
671775311936245760	DerekActual	another layer of concern to an already bad situation . security breach at toy maker includes data on children 
671771983546212352	TravisDe	if you have children that use vtech toys beware ! 
671763229404758020	Pinkerton	at includes data on children via 
671755833466687489	jamesgmclean6	apple 
671749585153359872	PhilArthursCPA	is your data secure ? don't be the next headline ! 
671729235665420288	lewisleong	toy maker vtech has been hacked , exposing data of parents and children alike . 
671727821316743168	Imakepuddles_	exactly why kids shouldn't have technology until they fully understand how it works and it's risks . 
671709180114391040	davis_it	hack at vtech is disturbing with the lack of security placed on the information . response from vtech even worse ! 
671694643382378497	marthajadams	5m+ security breach at hong kong toy maker vtech includes data on children ~ 
671690081367928832	NewTechKids	another data security breach . parents should be careful providing commercial companies with data about their kids . 
671683562463207424	Weismanntech	the hong kong company said that personal information of five million people had been compromised , including the ... 
671672432651075584	flow__wolf	security breach at toy maker includes on children 
671666579411763200	susanoha	security breach at toy maker includes data on children why/how does toy maker get kids ' birthdates ? 
671644009505361920	PooleCommunity	yet another hack attack ... 

http://www.nytimes.com/2015/12/02/world/middleeast/young-palestinian-women-adopt-unfamiliar-role-in-seeking-to-become-killers.html
672019199363932160	haroldlgardner	young join the turmoil 
672003277710561281	PINOROMBI	15 women have tried to stab israeli soldiers or civilians 
671815240452063238	mnarobot	young palestinian women join the west bank turmoil 
671992369227702272	MairavZ	women account for about 20% of all palestinian attackers in the last two months 
671965331607396352	tgoldenberg	young join the west bank turmoil 
671954512416931840	ARaquelCarvalho	young palestinian join the west bank turmoil 
671883286243840001	TammyAudi	palestinian women join west bank turmoil " hadeel picked up a pair of scissors & walked ... 
671793916790759424	UCWNews	young palestinian women adopt unfamiliar role in seeking to become killers 
671820907577401344	ukworldnews	ny times : young palestinian women join the turmoil 
671806271302057985	faqirhamim	young palestinian women adopt unfamiliar role in seeking to attack israelis 
671798284076257280	JeisBonGeek	young palestinian women adopt unfamiliar role in seeking to … 
671796063653650432	BrkNews365	young palestinian women adopt unfamiliar role in seeking to become … 

http://www.nytimes.com/2015/12/02/us/chicago-police-rahm-emanuel-laquan-mcdonald.html
672022550818361348	PhillipAuguste	chicago police superintendent is fired 
672015680250753024	knickanator	mayor rahm emanuel fires chicago police superintendent rahm emanuel needs to step down or be removed from office 
672015160068960256	MarcoGriolli	mayor rahm emanuel fires chicago police superintendent - new york times 
672014879214190592	LawrenceBland	the superintendent , garry f . mccarthy , and his department came under pressure for resisting the release of a ... 
672014595511422976	quietpublicity	mayor must go too ! making one man a scapegoat not good enough . mayor rahm emanuel fires chicago police superitendent 
672005371578421248	PINOROMBI	garry f . mccarthy , chicago police superintendent , fired 
672005918565994496	chrismmacneil	dec . 2 , 2015 - - chicago mayor fires police superintendent after civil outrage 
671996546502799360	DanielMHoltz	too little , too late ! mayor rahm emanuel fires chicago police superintendent . 
671841633906855936	CraveForNews	breaking news : mayor rahm emanuel has fired chicago’s police superintendent amid criticism over a police shooting 
671909708576350208	ColorArousal	mayor rahm emanuel is just like pres . richard nixon , conspiring to hide evidence of crime . emanuel should resign . 
671914341256400896	sphereinabox	rt rahm fires chicago police chief only thing rahm knows now that he didn't before the election is that … 
671913255741341696	RockyTayeh	rt mayor rahm emanuel fires chicago police superintendent now fire yourself . mossad agents that ta … 
671913183351873537	Scholar22	mayor rahm emanuel fires chicago police superintendent the public outcry demands swift action against the chief . -jh 
671911618339557376	EatingLoveAway	mayor rahm emanuel fires chicago police superintendent now fire yourself . mossad agents that targeted me linked to u 
671905628386942976	Javimere1971	fall guy . solves absolutely nothing . mayor rahm emanuel fires chicago police superintendent 
671903602689122304	DariusRussell12	follow the trail , mccarthy from nyc to newark to chicago ; mayor rahm emanuel fires chicago police superintendent 
671895100973309952	TwistAnonReaper	rt superintendent is fired is making a difference . 
671884989395431424	Kimberl03666511	rt police superintendent is fired : … 
671880830025863168	farmerzson	mayor emanuel fires chicago police superintendent let it be known he is still ( wrongly ) being paid ( with pension ) 
671880355117404160	fourmore2	mayor rahm emanuel fires chicago police superintendent - the new york times 
671878592570130432	luvronandez	nytimes : in sudden shift , chicago mayor fires top police official 
671872902795427841	NYTimesEmailed	[ feed ] mayor rahm emanuel fires chicago police superintendent : the superintendent , garry f . mccarthy , and his ... 
671870336720224257	shikarishambu	mayor rahm emanuel's silver bullet takes down the police superintendent not sure what it solves 
671868608256036864	Camilyan	" mayor rahm emanuel fires chicago police superintendent " by monica davey and mitch smith v … 
671868317171367936	Camilyan	" mayor rahm emanuel fires chicago police superintendent " by monica davey and mitch smith via nyt 
671865379518566400	dotsie01	the tides are turning . 
671858660373618688	senatorshlikas	is truly ' s twin city . as yogi berra said , " it is like deja vu all over again . " 
671851064996536322	gerard_friesz	who else thinks it time for mayor rahm emanuel to resign ? 
671851274053152768	Alexandra1001	in a city beset with problems , mayor rahm emanuel fires chicago police superintendent 
671846595147792386	danielhertlein	mayor rahm emanuel fires chicago police superintendent he should fire himself . 
671843510123823104	andreasharsono	nyt : mayor rahm emanuel fires chicago police superintendent over police video 
671831541031436288	AFRICANAMERICA1	rt after public outcry , mayor rahm emanuel fires chicago’s top cop . 
671830972158054401	nametyb	mayor rahm emanuel fires chicago police superintendent everyone who knew about the video and did nothing are guilty ! 
671826018735386624	RyanB_Warren	mayor rahm emanuel fires chicago police superintendent yep ! save your own ass time is now in effect ! 
671824019004522498	caalin	has shown this issue . mayor rahm emanuel fires chicago police chief 
671820606849941504	Big_Dani_J	reform please -- “ i’m responsible , ” he said , acknowledging a history of abuse of force by the chicago police . 
671815914480754689	miketangoromeo	mayor rahm emanuel fires chicago police superintendent that's a start . 
671812941122019329	cpegues	about time mayor made a move now him and alvarez should leave mayor rahm emanuel fires chicago police superintendent 

http://www.nytimes.com/2015/12/01/science/beyond-paris-climate-change-talks.html
672029353178472448	bertvis	rt is not the finishing line . it’s the starting point 
672014878828310528	EMBARQIndia	a path for beyond paris | via 
672003566228381696	Astrid_Kemper	a path for climate change , beyond paris 
672010863449083904	chr1st1nab	a path for change , beyond 
671998799682736128	callumgrieve	“ we are not moving fast enough . we’ve got to do more . ” 
671997584202850304	trentniemeyer	" technologies available today ... are probably not good enough to finish ( the transition ) " - 
671992725227634688	francoisdm	gov should set 10-15-yr doable targets w/ increm changes to avoid failed long plan 
671990869638139904	CoolFarmTool	fighting beyond paris - 
671986710671159296	EDRinLondon	rt a path beyond the paris climate change conference 
671982672961474564	MCrtsP	rt great piece in on our deep decarbonisation pathways work - kudos to team ! 
671980664690987008	IdeDig	a path beyond the paris climate change conference see more 
671971260616830976	Primal	a path beyond the paris climate change talks via nytimes 

http://www.nytimes.com/2015/12/01/world/asia/china-climate-change-global-warming.html
671651289214771201	DigitalnomadRob	the findings of china’s climate change report 
671695617706631168	jpvantiel	the findings of climate change report 
671847090314731521	JamesonTweedie	the findings of china’s changereport : china likely to face significantly higher warming than global average 
671841167902928897	bentzminger	the findings of china’s report via 
671806151726645248	sci_coll	check out the findings from reports , just ahead of the talks in 
671793956099891201	McKenzieAmanda	what does climate change mean for china ? 
671750916119248896	BCISLEMAN	findings of china’s climate change report china & india response to global warming may be keys to humanity's future 
671721456372420608	wilsonCEF	report reveals china's vulnerability to climate change via 
671712988345298944	SiChinaFood	practices will enhance the resilience . the findings of climate change report 
671706077164097536	NickJolicoeur	if the 2 degree goal is globally met , china's temperature will be much higher = 2.7 ~ 2.9 degrees 
671705334579404801	jenniduggan	china’s climate change report - the consequences of rising emissions for china 
671690956303941632	AtmosNews	average temps across china rising faster than global average . findings of china’s climate change report : 
671687495713734656	mrscottniskysci	if you think environmental regulations are bad , consider the alternative . findings of china’s climate change report 
671685521681305600	VPasquali	average temperatures across china have been rising faster than the global average , says a new report by chinese govt 
671556804929687552	IWMI_	china’s climate change report : the future of water and rainfall 
671622953977683968	yashodbhardwaj	the findings of report 
671643214428938240	LimAiYim	human -induced activities raise the mercury . 
671634621159874560	charmorrison	china's cc findings : warming above global average , precip up , less retaine : findings of c’s climate change report 
671633333571493888	RMelendezOrtiz	super brief of just-released report ( 900-page , 550 scientists & experts ) by 
671630702933331968	SonyKapoor	must read ! " how has affected 900 pages summarised for you in this piece 
671623237604888576	LidiaPedro9	even if the goal is met globally , " temperature rises across china will be substantially higher " 
671612347270586368	kymbco	rt chinese report : even if 2 degrees is met , temp rises across china will be much higher : 2.7 to 2.9 degrees c … 
